D,AB,TB
2.683424711227417,75.55155944824219,203.2418212890625
2.014565944671631,124.31868743896484,184.9356231689453
2.411250591278076,116.80646514892578,178.742431640625
2.0317838191986084,122.99507904052734,190.2659912109375
1.877313256263733,138.16403198242188,170.08778381347656
2.0773494243621826,123.34584045410156,179.03916931152344
2.0177929401397705,125.22340393066406,173.79037475585938
2.0720770359039307,133.61605834960938,187.27969360351562
1.8906102180480957,125.62364196777344,177.2576141357422
2.122251033782959,123.0289077758789,186.18980407714844
2.640178918838501,127.25385284423828,178.7142791748047
2.426246166229248,119.89414978027344,172.4681854248047
2.4730420112609863,116.3193359375,182.41184997558594
2.3131325244903564,102.14086151123047,181.28907775878906
2.2919671535491943,129.3063201904297,185.10000610351562
2.308515787124634,123.17130279541016,184.744873046875
2.3959267139434814,142.64137268066406,172.63970947265625
2.03643536567688,121.52143096923828,163.86483764648438
2.031710147857666,130.9204864501953,219.0270233154297
2.014613628387451,148.42222595214844,161.3314666748047
2.0381810665130615,114.56643676757812,145.92965698242188
2.0369362831115723,118.25247192382812,173.64642333984375
2.0333123207092285,136.2925262451172,164.58590698242188
2.0355894565582275,145.5445556640625,182.11904907226562
1.9780867099761963,147.4656219482422,161.3905029296875
1.9650890827178955,126.52067565917969,154.50640869140625
2.0198354721069336,79.13538360595703,177.53018188476562
2.0242059230804443,143.7916717529297,174.80642700195312
2.0380945205688477,89.72683715820312,157.65682983398438
1.5423036813735962,92.88716888427734,180.20462036132812
2.035639524459839,135.3302459716797,251.94393157958984
2.041107177734375,112.0011215209961,145.5061492919922
2.053812026977539,59.911685943603516,189.06607055664062
2.051030397415161,122.95213317871094,180.62054443359375
2.0072009563446045,151.08580017089844,192.1668701171875
1.9709558486938477,131.70285034179688,179.120849609375
2.0410404205322266,118.18586730957031,171.00048828125
2.1001791954040527,132.5728759765625,179.5331268310547
2.1716935634613037,122.69866943359375,163.96456909179688
2.1697263717651367,123.35208129882812,189.32669067382812
2.120609760284424,113.74635314941406,171.30018615722656
2.135636568069458,122.41995239257812,188.94540405273438
2.1071016788482666,105.3458023071289,170.52462768554688
2.0808799266815186,120.79563903808594,172.41549682617188
1.9400506019592285,135.20323181152344,166.2469024658203
2.059640645980835,128.3678741455078,175.71636962890625
2.0678293704986572,135.72007751464844,161.93832397460938
2.0410220623016357,122.77875518798828,163.93711853027344
2.0778234004974365,122.49060821533203,177.34805297851562
2.258114814758301,138.7342071533203,191.02542114257812
2.3741278648376465,141.94212341308594,192.55764770507812
2.0204968452453613,123.32850646972656,194.6214141845703
2.0606279373168945,124.14990234375,189.8561248779297
2.0582447052001953,123.59370422363281,150.6630401611328
2.0699470043182373,129.7654266357422,182.7606658935547
2.071296453475952,127.69993591308594,194.84458923339844
2.081467628479004,127.01891326904297,187.9086456298828
2.13946270942688,125.68990325927734,200.52096557617188
1.9329915046691895,119.52161407470703,197.59596252441406
2.030136823654175,130.0917510986328,189.38003540039062
1.7684284448623657,127.28759765625,173.84963989257812
1.9149434566497803,130.1790771484375,176.85939025878906
1.8844653367996216,111.14521026611328,207.3846435546875
1.9779385328292847,122.0924301147461,183.93606567382812
2.0550930500030518,129.67181396484375,173.70169067382812
2.044499635696411,125.3121566772461,180.3432159423828
2.057081460952759,125.80704498291016,164.08604431152344
2.0202012062072754,132.5861053466797,180.71600341796875
2.0056087970733643,127.27265167236328,161.6748046875
2.013697624206543,121.29914855957031,186.36932373046875
