,phi,psi
0,-62.5,-42.5
1,-62.5,-37.5
2,-62.5,-47.5
3,-57.5,-42.5
4,-67.5,-42.5
5,-67.5,-37.5
6,-57.5,-47.5
7,-57.5,-37.5
8,-62.5,-32.5
9,-67.5,-32.5
10,-67.5,-47.5
11,-62.5,-27.5
12,-72.5,-37.5
13,-57.5,-32.5
14,-67.5,-27.5
15,-52.5,-47.5
16,-72.5,-32.5
17,-62.5,-22.5
18,-57.5,-52.5
19,-67.5,-22.5
20,-72.5,-42.5
21,-52.5,-42.5
22,-67.5,-17.5
23,-62.5,-52.5
24,-57.5,-27.5
25,-72.5,-27.5
26,-72.5,-17.5
27,-52.5,-37.5
28,-62.5,-17.5
29,-72.5,-22.5
