,phi,psi
0,-62.5,137.5
1,-62.5,142.5
2,-67.5,142.5
3,-67.5,137.5
4,-57.5,137.5
5,-117.5,132.5
6,-57.5,132.5
7,-112.5,127.5
8,-62.5,132.5
9,-67.5,147.5
10,-122.5,137.5
11,-112.5,132.5
12,-107.5,127.5
13,-127.5,137.5
14,-117.5,127.5
15,-107.5,132.5
16,-122.5,132.5
17,-117.5,137.5
18,-132.5,147.5
19,-72.5,142.5
20,-127.5,147.5
21,-132.5,152.5
22,-127.5,142.5
23,-112.5,137.5
24,-122.5,142.5
25,-67.5,132.5
26,-132.5,142.5
27,-62.5,147.5
28,-102.5,127.5
29,-72.5,137.5
