AA,TA,TAB
110.52318572998047,129.60354614257812,172.4269256591797
120.86717987060547,67.47959899902344,301.35189056396484
8.241096496582031,135.07643127441406,288.02488708496094
105.39551544189453,167.60328674316406,181.33749389648438
104.55361938476562,8.127820014953613,55.358089447021484
94.44715118408203,2.05452299118042,290.8952941894531
107.52903747558594,117.10291290283203,216.4037628173828
121.7746810913086,107.6868667602539,358.5562574863434
94.44715118408203,116.65866088867188,108.7168960571289
105.88355255126953,110.16065216064453,174.69189453125
106.730224609375,99.86438751220703,52.309452056884766
107.9135971069336,104.77615356445312,291.1610641479492
108.88900756835938,138.12094116210938,215.24012756347656
112.50749206542969,109.5578384399414,343.26693534851074
107.9135971069336,143.47694396972656,100.74581146240234
106.52484130859375,124.46278381347656,273.53763580322266
103.54741668701172,99.8643798828125,20.55255126953125
104.49375915527344,104.7761459350586,149.077880859375
106.52484130859375,116.80489349365234,90.65771484375
101.89396667480469,114.49431610107422,342.466344833374
117.00106048583984,117.29004669189453,207.02792358398438
136.0658721923828,117.4788818359375,107.47445678710938
80.9977035522461,115.80790710449219,236.9610137939453
108.10518646240234,118.17806243896484,12.781293869018555
99.26417541503906,125.01703643798828,168.33213806152344
111.28636169433594,116.46917724609375,47.57317352294922
104.7869644165039,126.90206146240234,276.6375961303711
104.9888916015625,121.14837646484375,240.015380859375
119.84375762939453,115.80790710449219,10.194855690002441
104.7869644165039,118.17806243896484,135.9492950439453
91.2297134399414,110.47147369384766,205.7323455810547
114.3599624633789,117.48005676269531,315.4633102416992
117.9760971069336,108.19136810302734,92.60824584960938
110.14693450927734,116.44807434082031,80.5694808959961
105.83807373046875,116.37022399902344,208.05760192871094
109.49300384521484,116.91827392578125,321.0014953613281
119.9462890625,110.47147369384766,142.39968872070312
93.38880157470703,117.48005676269531,264.4136199951172
110.51184844970703,107.0149154663086,27.923934936523438
104.82333374023438,126.07186126708984,157.34158325195312
106.0316162109375,124.45974731445312,36.13457107543945
111.81314849853516,132.61024475097656,276.8390655517578
110.29489135742188,140.17922973632812,215.34280395507812
109.51134490966797,135.4365692138672,341.9025535583496
111.81314849853516,114.27188110351562,99.12262725830078
116.09333801269531,95.92159271240234,136.00430297851562
92.44506072998047,105.99925231933594,16.10936164855957
113.76239013671875,106.82237243652344,258.3443374633789
100.8309326171875,111.45103454589844,84.45365142822266
105.2237319946289,104.06607818603516,203.29794311523438
