,phi,psi
0,52.5,-127.5
1,52.5,-122.5
2,52.5,-132.5
3,57.5,-127.5
4,47.5,-127.5
5,57.5,-122.5
6,52.5,-117.5
7,47.5,-132.5
8,47.5,-122.5
9,52.5,-137.5
